R1b14b079add4f5306e5f50c276a3b0ffae6b7856d3703740c5478c69713b4458
R16bcd71a77b7fd97bf2aca7eed3d08cb04719de80c312d055f27074b84bb8e54
R84126efbb9122177f50f81fcff58422c31a5cf7ef7254420a381ce0f8ade1ec8,rule0311
Rf5898861a951c8ea3794b4c3e10db88fb0fb78bf26f44f590e58f66d9676a4d6,rule0310
R39b0398e73b68c538a28e03efee4314823112b67ad282738ce8d567022b8fe85
Rfad2a036f89640a4a49a049bef9cc5e1ef504201d4fda4ce219b89c4beaf130f
R922e16ad056d0d9e87f61239c734efcf9fafb99c77cc33d96608076b40678425,rule0121
R0de29f2cc514eb8dfe7d827e257c3e166febb7d192382a0c9d6eb1a993c6b460,rule0120
R8d9c400039c4568d063fa0a51b012da463f56d8a598cfd6c6478ae466b7f38aa,rule0011
R4ea3aa1336af7749f5cf53763ee44f8884a88e0ace7e929377df2a70aa9c109d,rule0010
R45025ec58e4fe981a49cf112015f0808cc54dd3259adaccb8e1003f7b044a8d7
Ra9992b18b976939f53e65ad0c725097db20c8c64671f3ba796870c049244e718
R217df6177e51b548419849f6dce111ac8895fa66aed2291141f57976c6f2a47b
R747ca65a02820ed236ec0f1e2fcfa28289ef7303f24c6e4c6b83d30005d91999
R5386d7c400c7c774dc0d52a933c7b4f676c4effc8a72b0ee5d0fdcd3cc3e120e,rule0142
R08bda55e5c0d0be890535bb65230fbfe07f774fea455a4f4c8e4522d2a95669a,rule0143
R57b2bc5bcccd3d7e9a71b4c948ad01d180e83e03cd89e34a5f6d37dc3474a8d9,rule0142
Ree77dff5093b0af062fd41285bf53b7eeeb69b8fc6a5ba861f13ae4b474989da,rule0143
R07e9d9991ff4898d51d57da9cf64f47f9124462f1880e37d1aaa1c48f17f4045,rule0142
R2a6f904bdee78b9c3f0d1f1a444cffd172f62c6c97c6d88c6366adc7b4de8a9f,rule0143
R159595c833084656ab730372463f757c3f53dedfd7711612821480c4633c82fa,rule0142
Rc01d6f8e42d8331647709a1a7c9c96f1f33d213266e02b410e4be393f1439353,rule0143
R6251c1cd68a023240139d2d2944659b1dfea95e32986246ad08396885ef63682,rule1222
Rb7a9f7b21daabd5bcc6af90c626e77b2f9d48517f6219f8c611371c98cc03b2d,rule1221
R510cfe8ff2a12e5ce7ff817758c5004d485405cf556910d1eac693d5fd492663,rule0015
R70ebaa61ccd83ef6958226d750acc1ed9b0aac550be2b76932d55b85acff4ee9,rule0014
R123f2fdc81ff4b35d587c277a6e23442d9bcc8ec4ded770ef9aec2d6beff6159,rule0036
R144701e01bab5dae6a7415469946ec3981064f5cd92e6f1d121da34bd55ae1b7,rule0037
R5858908f1556aed480a0e5237eecf683cb0364f5046f8a5c1d72d559d9836490,rule0007,rule0125
R5ab2c61451cf0e198125fcdfbf9cb6db38cfde71666ebcb969db9e5770141b57,rule0006,rule0124
R8986be54c0b363bec4779662e23a7fbfd8e4b6ed3e142e47f0077d549c160fbd,rule0036
R6d98172baff607dc28bc3de35977801c3d135125cb5567cbebbc2747d6d90b5a,rule0037
R2920641085a1923b56b141261726488e95b3a77103cf86abb5903cb232656b95,rule1056
R348141ddd79988b2f7674426318b35ef4e211953d256f4f6799788516bd1598e,rule1057
R3eeb091c89391c12ec049927f8e4ee0f581e83c159386100aacd755a3a3b2cf4,rule0009
Re82c7c6232054dc1d287f57f7f5ed11d92cfc56dc59964cdad82e340e7f2a19e,rule0008
R501123bb884b2f019a5c74b0a8ecd5549d7167969846d4d8b35bc393c3b4da94,rule0009
